run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24213,signal,LD2,PI+SIDIS,34.661,57.883,0.9997,1.0,1.012107,-1.0,1.0,ps6,1.0,59.878,1.27869
24214,signal,LD2,PI+SIDIS,34.487,46.773,0.9998,1.0,1.012046,-1.0,1.0,ps6,1.0,63.2856,1.45215
24215,signal,LD2,PI+SIDIS,36.178,60.825,0.9997,1.0,1.012637,-1.0,1.0,ps6,1.0,62.9549,1.27429
24216,signal,LD2,PI+SIDIS,36.691,65.826,0.9997,1.0,1.012816,-1.0,1.0,ps6,1.0,59.1342,1.20554
24217,signal,LD2,PI+SIDIS,35.191,60.209,0.9997,1.0,1.012292,-1.0,1.0,ps6,1.0,62.1068,1.2766
24218,signal,LD2,PI+SIDIS,35.186,58.075,0.9997,1.0,1.01229,-1.0,1.0,ps6,1.0,61.5709,1.29463
24219,signal,LD2,PI+SIDIS,24.534,43.452,0.9996,1.0,1.00857,-1.0,1.0,ps6,1.0,63.1967,1.4197
24220,signal,LD2,PI+SIDIS,12.171,20.376,0.9999,1.0,1.004251,-1.0,1.0,ps6,1.0,64.4413,1.94298
24250,signal,LD2,PI+SIDIS,34.318,56.482,0.9998,1.0,1.011987,-1.0,1.0,ps6,1.0,63.0651,1.31965
24251,signal,LD2,PI+SIDIS,33.612,59.596,0.9998,1.0,1.011741,-1.0,1.0,ps6,1.0,62.1825,1.27846
24252,signal,LD2,PI+SIDIS,34.956,60.594,0.9998,1.0,1.01221,-1.0,1.0,ps6,1.0,61.4634,1.26247
24253,signal,LD2,PI+SIDIS,35.377,62.66,0.9997,1.0,1.012357,-1.0,1.0,ps6,1.0,60.1638,1.2376
24254,signal,LD2,PI+SIDIS,35.075,61.71,0.9997,1.0,1.012252,-1.0,1.0,ps6,1.0,63.8427,1.26751
24255,signal,LD2,PI+SIDIS,34.361,59.902,0.9996,1.0,1.012002,-1.0,1.0,ps6,1.0,60.5563,1.26591
24266,signal,LD2,PI+SIDIS,24.283,40.776,0.9997,1.0,1.008482,-1.0,1.0,ps6,1.0,61.5502,1.44953
24267,signal,LD2,PI+SIDIS,12.232,21.245,0.9998,1.0,1.004273,-1.0,1.0,ps6,1.0,63.0458,1.88281
24553,positron,LD2,PI+SIDIS,32.317,40.594,0.9977,1.0,1.011288,-1.0,1.0,ps6,1.0,1.01978,0.301979
24232,dummy,Dummy,PI+SIDIS,38.805,71.043,0.9997,1.0,1.0,-1.0,1.0,ps6,1.0,18.2115,0.56592
24233,dummy,Dummy,PI+SIDIS,39.196,67.806,0.9997,1.0,1.0,-1.0,1.0,ps6,1.0,18.0474,0.575235
24234,dummy,Dummy,PI+SIDIS,39.744,70.176,0.9997,1.0,1.0,-1.0,1.0,ps6,1.0,17.3957,0.558242
24268,dummy,Dummy,PI+SIDIS,38.763,68.715,0.9998,1.0,1.0,-1.0,1.0,ps6,1.0,16.9577,0.554407
24269,dummy,Dummy,PI+SIDIS,39.994,59.223,0.9999,1.0,1.0,-1.0,1.0,ps6,1.0,17.7326,0.607646
24555,positron_dummy,Dummy,PI+SIDIS,38.899,56.964,0.9941,1.0,1.0,-1.0,1.0,ps6,1.0,0.114797,0.0899217
