run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24442,signal,LH2,PI+SIDIS,16.031,28.924,0.9985,1.0,1.01174,-1.0,1.0,ps6,1.0,37.8535,1.4465
24443,signal,LH2,PI+SIDIS,15.95,26.971,0.9987,1.0,1.011644,1.0,-1.0,ps5,1.0,43.7288,1.58738
24444,signal,LH2,PI+SIDIS,15.896,26.509,0.999,1.0,1.011595,-1.0,1.0,ps6,1.0,36.3411,1.47923
24445,signal,LH2,PI+SIDIS,16.252,4.618,0.999,1.0,1.011864,-1.0,1.0,ps6,1.0,38.7038,3.63115
24446,signal,LH2,PI+SIDIS,16.022,15.082,0.9985,1.0,1.011696,-1.0,1.0,ps6,1.0,33.3447,1.90997
24447,signal,LH2,PI+SIDIS,15.956,24.499,0.9985,1.0,1.011643,-1.0,1.0,ps6,1.0,36.8975,1.53623
24448,signal,LH2,PI+SIDIS,16.234,9.922,0.9989,1.0,1.0118,-1.0,1.0,ps6,1.0,39.8661,2.47207
24449,signal,LH2,PI+SIDIS,15.751,28.492,0.999,1.0,1.011432,-1.0,1.0,ps6,1.0,36.7402,1.43956
24450,signal,LH2,PI+SIDIS,15.964,28.79,0.9985,1.0,1.011605,-1.0,1.0,ps6,1.0,37.7531,1.43557
24451,signal,LH2,PI+SIDIS,15.996,26.282,0.9986,1.0,1.01162,-1.0,1.0,ps6,1.0,38.1307,1.51205
24452,signal,LH2,PI+SIDIS,16.331,29.503,0.9988,1.0,1.011883,-1.0,1.0,ps6,1.0,36.9682,1.40567
24453,signal,LH2,PI+SIDIS,16.1,28.126,0.9987,1.0,1.011701,-1.0,1.0,ps6,1.0,39.1722,1.47659
24454,signal,LH2,PI+SIDIS,8.084,15.504,0.9988,1.0,1.005789,-1.0,1.0,ps6,1.0,42.7016,1.86426
24508,signal,LH2,PI+SIDIS,15.863,19.163,0.999,1.0,1.011575,-1.0,1.0,ps6,1.0,36.2058,1.74321
24509,signal,LH2,PI+SIDIS,16.186,28.165,0.9984,1.0,1.01163,-1.0,1.0,ps6,1.0,34.3535,1.42328
24510,signal,LH2,PI+SIDIS,15.99,25.465,0.9987,1.0,1.011481,-1.0,1.0,ps6,1.0,35.2265,1.50327
24511,signal,LH2,PI+SIDIS,16.307,28.926,0.9988,1.0,1.011802,-1.0,1.0,ps6,1.0,37.1467,1.4278
24512,signal,LH2,PI+SIDIS,8.186,15.425,0.9983,1.0,1.005902,-1.0,1.0,ps6,1.0,39.8969,1.82765
24566,positron,LH2,PI+SIDIS,15.674,43.898,0.9951,1.0,-999.0,-1.0,1.0,ps6,1.0,0.670942,0.247205
24609,positron,LH2,PI+SIDIS,15.754,44.805,0.9948,1.0,1.01143,-1.0,1.0,ps6,1.0,0.864627,0.216863
24460,dummy,Dummy,PI+SIDIS,20.271,34.736,0.9987,1.0,1.0,-1.0,1.0,ps6,1.0,18.0415,0.993583
24461,dummy,Dummy,PI+SIDIS,18.571,9.852,0.9988,1.0,1.0,-1.0,1.0,ps6,1.0,21.3117,1.96925
24463,dummy,Dummy,PI+SIDIS,20.184,24.771,0.9985,1.0,1.0,-1.0,1.0,ps6,1.0,22.1366,1.25175
24464,dummy,Dummy,PI+SIDIS,20.387,35.203,0.9989,1.0,1.0,-1.0,1.0,ps6,1.0,18.9009,1.00749
24513,dummy,Dummy,PI+SIDIS,19.587,32.095,0.9979,1.0,1.0,-1.0,1.0,ps6,1.0,17.8544,1.04852
24514,dummy,Dummy,PI+SIDIS,19.894,34.199,0.9988,1.0,1.0,-1.0,1.0,ps6,1.0,20.2089,1.04273
24515,dummy,Dummy,PI+SIDIS,19.485,33.037,0.999,1.0,1.0,-1.0,1.0,ps6,1.0,20.4554,1.06301
24567,positron_dummy,Dummy,PI+SIDIS,19.848,58.641,0.9983,1.0,1.0,-1.0,1.0,ps6,1.0,0.489672,0.185515
24608,positron_dummy,Dummy,PI+SIDIS,19.48,57.617,0.9974,1.0,1.0,-1.0,1.0,ps6,1.0,0.448206,0.184416
